HOST,seq_num,is_image,add_orderid,add_side,add_price,add_qty,add_position,update_orderid,update_side,update_price,update_qty,update_position,delete_orderid,delete_side,trade_orderid,trade_side,trade_qty,trade_price
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7177500580570402740,BUY,0.245,80000,128,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7178511031756237717,BUY,0.245,20000,133,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7177500580569492116,BUY,0.22,500000,188,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7178115207569559536,BUY,0.245,150000,129,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7178906855942039939,BUY,0.245,100000,134,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7178511031756236881,BUY,0.245,20000,131,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7178906855941744674,BUY,0.245,20000,132,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7184844218732493712,BUY,0.23500000000000001,1266300,166,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7181281801059139939,BUY,0.245,430000,135,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7184448394545513688,BUY,0.27,1000000,2,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7181281801059139940,BUY,0.245,668200,136,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7185824983104559902,BUY,0.26,300000,72,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7180885976871403949,BUY,0.24,200000,151,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7181281801059139941,BUY,0.245,595400,137,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7182073449429391933,BUY,0.26,30000,56,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7184052570359513977,BUY,0.265,257900,19,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7177500580569462159,BUY,0.225,500000,181,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7178115207570751943,BUY,0.24,3000,148,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7181677625243386347,BUY,0.255,80000,82,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7184844218731434132,BUY,0.27,30000,7,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7181281801059139943,BUY,0.245,549800,139,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7178906855941385852,BUY,0.25,100000,109,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7181677625244415450,BUY,0.245,1000000,140,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7178115207569576212,BUY,0.24,80000,145,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7178115207569801711,BUY,0.24,50000,147,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7184844218732493694,BUY,0.24,883400,153,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7185824983103354894,BUY,0.24,500000,155,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7185824983103354914,BUY,0.24,500000,156,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7177500580569492187,BUY,0.22,1000000,190,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7181677625244874240,BUY,0.26,50000,47,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7185824983103354941,BUY,0.24,500000,157,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7178115207569576369,BUY,0.23500000000000001,80000,159,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7178115207569576568,BUY,0.225,80000,184,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7178511031755414505,BUY,0.23500000000000001,50000,161,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7184448394545401459,BUY,0.26,80000,66,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7178511031756096682,BUY,0.23500000000000001,40000,162,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7180885976871430415,BUY,0.23500000000000001,150000,163,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7179302680127985208,BUY,0.255,70000,78,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7185824983103355024,BUY,0.23,500000,175,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7184844218732493711,BUY,0.23500000000000001,1243800,165,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7185824983103354969,BUY,0.23500000000000001,500000,167,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7180885976871891319,BUY,0.255,55000,79,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7184448394545427232,BUY,0.265,500000,39,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7176136086639399394,BUY,0.23,50000,171,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7184448394545862567,BUY,0.27,2500,3,,BUY,,,,,BUY,,BUY,,
